org,total_repos_active,total_repos_archived,public_repos,private_repos,internal_repos,ghas_enabled,ghas_enabled_private,ghas_enabled_internal,secret_scanning_enabled,secret_scanning_push_protection_enabled,dependabot_security_updates_enabled,code_scanning_active_repos,ghas_active_committers,dependabot_alerts_open,secret_scanning_alerts_open,code_scanning_alerts_open,copilot_seats_total,copilot_seats_active_this_cycle,copilot_seats_inactive_this_cycle,copilot_seats_pending,copilot_active_users,copilot_engaged_users,copilot_metrics_date,actions_minutes_used_total,actions_minutes_used_paid,packages_storage_gb,shared_storage_estimated_paid,actions_spend_usd,packages_spend_usd,storage_spend_usd,copilot_spend_usd,total_spend_usd,collected_at
pfizer-analytics,1146,322,0,834,312,11,4,7,1146,1146,1146,7,n/a,41130,231,57,0,0,0,0,n/a,n/a,n/a,13766.0,10671.0,1.53,7020.89,75.66,0.0,0.0,0.0,75.66,2026-08-04T11:38:19Z
pfizer-business-services,607,215,0,295,312,0,0,0,607,607,607,0,n/a,100000,98,0,0,0,0,0,n/a,n/a,n/a,277.0,237.0,0.0,871.89,1.36,0.0,0.0,0.0,1.36,2026-08-04T11:38:19Z
pfizer-clinical-supply,53,53,0,29,24,0,0,0,53,53,53,0,n/a,6929,4,0,0,0,0,0,n/a,n/a,n/a,202.0,202.0,0.0,6483.35,2.22,0.0,0.0,0.0,2.22,2026-08-04T11:38:19Z
pfizer-commercial,194,49,0,193,1,3,3,0,194,194,194,3,n/a,4198,0,868,0,0,0,0,n/a,n/a,n/a,43.0,24.0,0.0,88.38,0.14,0.0,0.0,0.0,0.14,2026-08-04T11:38:18Z
pfizer-compliance,4,14,0,2,2,0,0,0,4,4,4,0,n/a,14,2,0,0,0,0,0,n/a,n/a,n/a,37.0,7.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,2026-08-04T11:38:19Z
pfizer-devex,37,17,0,12,25,0,0,0,37,37,37,0,n/a,220,0,0,3551,2239,1312,35,n/a,n/a,n/a,111.0,69.0,0.04,1108.51,0.54,0.0,0.0,17737.45,17737.99,2026-08-04T11:38:19Z
pfizer-digital-manufacuring,998,166,0,927,71,1,1,0,998,998,998,1,n/a,34986,56,65,0,0,0,0,n/a,n/a,n/a,1895.0,1363.0,0.0,16885.51,6.75,0.0,0.0,0.0,6.75,2026-08-04T11:38:18Z
pfizer-digital-supply,152,11,0,83,69,0,0,0,152,152,152,0,n/a,1717,53,0,0,0,0,0,n/a,n/a,n/a,50.0,46.0,0.0,1120.43,0.32,0.0,0.0,0.0,0.32,2026-08-04T11:38:19Z
pfizer-eps-dpp,64,7,0,63,1,0,0,0,64,64,64,0,n/a,2049,6,0,0,0,0,0,n/a,n/a,n/a,0.0,0.0,0.0,400.09,0.0,0.0,0.0,0.0,0.0,2026-08-04T11:38:21Z
pfizer-eps,1359,294,0,836,523,1359,836,523,1359,1359,1276,944,n/a,14179,67,9032,0,0,0,0,n/a,n/a,n/a,10719.0,8404.0,0.2,2282.5,37.13,0.0,0.0,0.0,37.13,2026-08-04T11:38:20Z
pfizer-esc,550,277,0,549,1,0,0,0,550,550,550,0,n/a,2366,58,0,0,0,0,0,n/a,n/a,n/a,54.0,34.0,0.2,2889.56,0.39,0.0,0.0,0.0,0.39,2026-08-04T11:38:20Z
pfizer-evgen,160,197,0,117,43,1,1,0,160,160,160,0,n/a,573,7,0,0,0,0,0,n/a,n/a,n/a,1564.0,633.0,0.0,126.01,2.92,0.0,0.0,0.0,2.92,2026-08-04T11:38:19Z
pfizer-finance,104,53,0,104,0,0,0,0,104,104,104,0,n/a,3491,0,0,0,0,0,0,n/a,n/a,n/a,25.0,5.0,0.0,55.21,0.03,0.0,0.0,0.0,0.03,2026-08-04T11:38:20Z
pfizer-fit,863,8,0,827,36,0,0,0,863,863,863,0,n/a,17486,5,0,0,0,0,0,n/a,n/a,n/a,5133.0,2442.0,0.37,10206.23,13.33,0.0,0.0,0.0,13.33,2026-08-04T11:38:19Z
pfizer-ld,13,2,0,11,2,0,0,0,13,13,13,0,n/a,128,10,0,0,0,0,0,n/a,n/a,n/a,12.0,9.0,0.0,4.79,0.06,0.0,0.0,0.0,0.06,2026-08-04T11:38:19Z
pfizer-marm,157,49,0,153,4,0,0,0,157,157,157,0,n/a,4940,0,0,0,0,0,0,n/a,n/a,n/a,1.0,1.0,114.59,16588.38,0.12,0.0,0.0,0.0,0.12,2026-08-04T11:38:20Z
pfizer-oneweb,127,37,0,117,10,0,0,0,127,127,127,0,n/a,960,0,0,0,0,0,0,n/a,n/a,n/a,442.0,195.0,0.0,966.15,1.02,0.0,0.0,0.0,1.02,2026-08-04T11:38:19Z
pfizer-operations-and-insights,236,38,0,122,114,1,0,1,236,236,236,1,n/a,5555,16,11,0,0,0,0,n/a,n/a,n/a,155.0,112.0,1.56,9481.04,3.08,0.0,0.0,0.0,3.08,2026-08-04T11:38:19Z
pfizer-pic,25,6,0,25,0,0,0,0,25,25,25,0,n/a,4923,11,0,0,0,0,0,n/a,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-04T11:38:19Z
