action_ref,owner,pin_type,is_vetted,kind,repo_count,total_uses
actions/checkout@v3,actions,tag,true,action,128,1880
actions/checkout@v4,actions,tag,true,action,304,1152
aws-actions/configure-aws-credentials@v4,aws-actions,tag,true,action,106,969
aws-actions/configure-aws-credentials@v2,aws-actions,tag,true,action,43,835
aws-actions/amazon-ecr-login@v1,aws-actions,tag,true,action,48,827
aws-actions/amazon-ecr-login@v2,aws-actions,tag,true,action,72,665
aws-actions/aws-cloudformation-github-deploy@v1,aws-actions,tag,true,action,64,646
byu-oit/github-action-create-ecr-repo-if-missing@v2,byu-oit,tag,false,action,53,432
aws-actions/configure-aws-credentials@v1,aws-actions,tag,true,action,69,263
actions/setup-python@v5,actions,tag,true,action,97,232
pfizer-analytics/sdc-xwrdm-iac-modules/.github/workflows/reusable.yml@main,pfizer-analytics,branch,true,reusable_workflow,6,214
pfizer-github-automation/sonar-scan-action@main,pfizer-github-automation,branch,true,action,183,213
pfizer-github-automation/sonar-scan-action@1ec9b1579aa5b551a238b917425189aa60ed9ff8,pfizer-github-automation,sha,true,action,37,196
actions/checkout@v2,actions,tag,true,action,62,159
aws-actions/aws-cloudformation-github-deploy@v1.1.0,aws-actions,tag,true,action,30,145
actions/create-release@v1,actions,tag,true,action,58,130
sonarsource/sonarqube-quality-gate-action@master,sonarsource,branch,true,action,29,126
actions/checkout@v6,actions,tag,true,action,10,111
pfizer-github-automation/sonar-scan-action@e0796249d0a107867fb6adff9ed6095e50bceb85,pfizer-github-automation,sha,true,action,23,102
actions/upload-artifact@v4,actions,tag,true,action,48,96
actions/checkout@v5,actions,tag,true,action,21,95
actions/setup-node@v4,actions,tag,true,action,47,94
./.github/actions/assume_role,,local,true,action,7,88
actions/create-github-app-token@v2,actions,tag,true,action,17,81
aws-actions/aws-cloudformation-github-deploy@v1.0.3,aws-actions,tag,true,action,20,72
byu-oit/github-action-create-ecr-repo-if-missing@v1,byu-oit,tag,false,action,6,70
actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd,actions,sha,true,action,4,69
actions/setup-python@v4,actions,tag,true,action,25,49
actions/github-script@v7,actions,tag,true,action,13,47
databricks/setup-cli@main,databricks,branch,false,action,10,44
actions/checkout@34e114876b0b11c390a56381ad16ebd13914f8d5,actions,sha,true,action,12,42
aws-actions/configure-aws-credentials@v6,aws-actions,tag,true,action,3,42
AutoModality/action-clean@v1,AutoModality,tag,false,action,7,41
actions/setup-python@v6,actions,tag,true,action,13,41
actions/cache@v4,actions,tag,true,action,19,37
actions/download-artifact@v4,actions,tag,true,action,17,36
docker/setup-qemu-action@v1,docker,tag,true,action,6,34
docker/setup-buildx-action@v3,docker,tag,true,action,15,34
docker/setup-buildx-action@v1,docker,tag,true,action,7,33
aws-actions/aws-cloudformation-github-deploy@v1.2.0,aws-actions,tag,true,action,2,31
actions/checkout@11bd71901bbe5b1630ceea73d27597364c9af683,actions,sha,true,action,9,29
sonarsource/sonarqube-scan-action@master,sonarsource,branch,true,action,16,28
pfizer-analytics/sdc-xwrdm-github-actions-tools/actions/create-runner@v1,pfizer-analytics,tag,true,action,13,26
hashicorp/setup-terraform@v1,hashicorp,tag,true,action,13,24
hashicorp/setup-terraform@v3,hashicorp,tag,true,action,15,23
docker/build-push-action@v2,docker,tag,true,action,7,22
aws-actions/configure-aws-credentials@ececac1a45f3b08a01d2dd070d28d111c5fe6722,aws-actions,sha,true,action,5,21
actions/setup-python@v3,actions,tag,true,action,10,20
azure/setup-helm@v3,azure,tag,true,action,4,20
actions/setup-node@v2,actions,tag,true,action,14,19
azure/setup-kubectl@v3,azure,tag,true,action,4,19
aws-actions/aws-cloudformation-github-deploy@v2,aws-actions,tag,true,action,1,19
aws-actions/configure-aws-credentials@d979d5b3a71173a29b74b5b88418bfda9437d885,aws-actions,sha,true,action,1,19
actions/setup-python@v2,actions,tag,true,action,16,18
docker/build-push-action@v6,docker,tag,true,action,8,17
actions/setup-java@v4,actions,tag,true,action,14,17
aws-actions/configure-aws-credentials@8df5847569e6427dd6c4fb1cf565c83acfa8afa7,aws-actions,sha,true,action,2,17
aws-actions/configure-aws-credentials@7474bc4690e29a8392af63c5b98e7449536d5c3a,aws-actions,sha,true,action,5,15
actions/setup-node@v3,actions,tag,true,action,12,14
pfizer-analytics/sdc-xwrdm-github-actions-tools/actions/kaniko-build@v1,pfizer-analytics,tag,true,action,9,14
tj-actions/changed-files@v31,tj-actions,tag,false,action,3,14
aws-actions/configure-aws-credentials@v5,aws-actions,tag,true,action,4,14
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_code-scan.yml@baf7272c83de0fbe090e71e3b5fa492ce2a4a9b4,pfizer-analytics,sha,true,reusable_workflow,8,14
astral-sh/setup-uv@v4,astral-sh,tag,false,action,9,14
pfizer-github-automation/github-oidc-action@2.x,pfizer-github-automation,tag,true,action,1,14
actions/setup-java@v1,actions,tag,true,action,7,13
actions/upload-artifact@ea165f8d65b6e75b540449e92b4886f43607fa02,actions,sha,true,action,9,12
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_aws-deploy.yml@baf7272c83de0fbe090e71e3b5fa492ce2a4a9b4,pfizer-analytics,sha,true,reusable_workflow,4,12
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_post-deployment.yml@baf7272c83de0fbe090e71e3b5fa492ce2a4a9b4,pfizer-analytics,sha,true,reusable_workflow,4,12
./.github/workflows/component-ci.yml,,local,true,reusable_workflow,1,12
actions/cache@v2,actions,tag,true,action,6,11
docker/build-push-action@v5,docker,tag,true,action,6,11
aws-actions/configure-aws-credentials@e3dd6a429d7300a6a4c196c26e071d42e0343502,aws-actions,sha,true,action,4,11
actions/setup-python@a26af69be951a213d495a4c3e4e4022e16d87065,actions,sha,true,action,9,11
actions/cache@v3,actions,tag,true,action,5,11
aws-actions/amazon-ecr-login@fa648b43de3d4d023bcb3f89ed6940096949c419,aws-actions,sha,true,action,3,10
actions/checkout@v4.1.1,actions,tag,true,action,3,10
astral-sh/setup-uv@v7,astral-sh,tag,false,action,3,10
astral-sh/setup-uv@v3,astral-sh,tag,false,action,4,10
