org,repos_scanned,workflows_scanned,repos_with_findings,total_findings,critical,high,medium,low,info,distinct_actions
pfizer-analytics,1051,2487,469,7911,3719,988,222,0,2982,430
pfizer-business-services,596,141,132,294,144,3,2,0,145,21
pfizer-clinical-supply,50,9,7,17,8,0,0,0,9,12
pfizer-commercial,192,182,152,405,161,62,0,0,182,18
pfizer-compliance,4,5,3,14,8,1,0,0,5,9
pfizer-devex,33,25,12,59,15,15,4,0,25,32
pfizer-digital-manufacuring,941,1511,364,4363,1886,409,26,0,2042,290
pfizer-digital-supply,149,211,57,615,55,152,0,0,408,35
pfizer-eps-dpp,67,63,9,130,19,39,1,0,71,36
pfizer-eps,1320,2403,936,8117,4373,589,46,0,3109,229
pfizer-esc,544,1646,541,4985,633,1101,5,0,3246,55
pfizer-evgen,170,32,15,127,53,33,9,0,32,24
pfizer-finance,115,174,65,352,75,101,2,0,174,32
pfizer-fit,625,887,389,2623,146,194,13,0,2270,101
pfizer-ld,11,12,3,20,3,5,0,0,12,8
pfizer-marm,155,255,136,540,230,53,2,0,255,34
pfizer-oneweb,106,321,98,918,107,119,19,0,673,84
pfizer-operations-and-insights,229,918,160,3124,571,557,21,0,1975,213
pfizer-pic,25,1,1,2,1,0,0,0,1,3
pfizer-rd,3087,2518,943,8357,3621,1371,316,0,3049,615
pfizer-seagen,258,213,69,1711,1310,92,20,0,289,134
pfizer-utils,5,2,1,3,1,0,0,0,2,4
pfizer,6694,10031,4457,43195,28270,1972,94,0,12859,604
