org,repos_scanned,workflows_scanned,repos_with_findings,total_findings,critical,high,medium,low,info,distinct_actions
pfizer-analytics,1065,2522,475,6820,2801,901,91,0,3027,430
pfizer-business-services,597,139,130,289,142,3,1,0,143,21
pfizer-clinical-supply,50,9,7,17,8,0,0,0,9,12
pfizer-commercial,193,183,153,407,162,62,0,0,183,18
pfizer-compliance,4,5,3,14,8,1,0,0,5,9
pfizer-devex,34,27,13,60,14,15,4,0,27,34
pfizer-digital-manufacuring,944,1512,364,4285,1859,359,25,0,2042,292
pfizer-digital-supply,149,212,57,617,56,152,0,0,409,35
pfizer-eps-dpp,63,58,6,114,11,38,1,0,64,32
pfizer-eps,1314,2447,943,7851,4082,539,33,0,3197,235
pfizer-esc,545,1650,542,4993,633,1101,5,0,3254,55
pfizer-evgen,163,17,14,73,27,21,8,0,17,23
pfizer-finance,115,174,65,331,71,85,1,0,174,32
pfizer-fit,681,1018,451,2984,145,199,5,0,2635,103
pfizer-ld,11,12,3,16,3,1,0,0,12,8
pfizer-marm,157,256,137,506,220,30,0,0,256,36
pfizer-oneweb,116,348,107,970,116,115,3,0,736,91
pfizer-operations-and-insights,231,921,160,3103,570,547,8,0,1978,213
pfizer-pic,25,1,1,2,1,0,0,0,1,3
pfizer-rd,3112,2546,954,8091,3541,1272,193,0,3085,625
pfizer-seagen,258,213,69,1704,1310,96,9,0,289,134
pfizer-utils,5,2,1,3,1,0,0,0,2,4
pfizer,6704,10031,4458,42247,27667,1657,61,0,12862,606
